chain_name,usd_stable_coin_address,priority
Ethereum,0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,100
Ethereum,0xdAC17F958D2ee523a2206206994597C13D831ec7,30
Ethereum,0x6B175474E89094C44Da98b954EedeAC495271d0F,10
Arbitrum,0xaf88d065e77c8cC2239327C5EDb3A432268e5831,100
Arbitrum,0xFF970A61A04b1cA14834A43f5dE4533eBDDB5CC8,80
Arbitrum,0x5d3a1Ff2b6BAb83b63cd9AD0787074081a52ef34,60
Arbitrum,0x6491c05A82219b8D1479057361ff1654749b876b,40
Avalanche,0x9702230A8Ea53601f5cD2dc00fDBc13d4dF4A8c7,100
Avalanche,0xB97EF9Ef8734C71904D8002F8b6Bc66Dd9c48a6E,80
Polygon,0x3c499c542cEF5E3811e1192ce70d8cC03d5c3359,100
Polygon,0x2791Bca1f2de4661ED88A30C99A7a9449Aa84174,80
Polygon,0x8f3Cf7ad23Cd3CaDbD9735AFf958023239c6A063,60
Polygon,0xc2132D05D31c914a87C6611C10748AEb04B58e8F,40